HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 15, 2025 (af)  "
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,84 ,84 
,,9000-10000',0.0 ,0.3 ,"4,211 ","1,147 "
,,10000-11000',1.5 ,3.1 ,"67,552 ","-11,591 "
,,11000-12000',7.9 ,7.6 ,"166,961 ","-10,527 "
,,12000-13000',9.0 ,8.4 ,"50,538 ","-3,617 "
,,13000-14000',7.5 ,5.6 ,693 ,-43 
,Alamosa-Trinchera,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,118 ,118 
,,9000-10000',0.0 ,0.2 ,"3,133 ","2,507 "
,,10000-11000',0.6 ,1.0 ,"12,589 ",135 
,,11000-12000',1.5 ,2.5 ,"21,617 ","-2,215 "
,,12000-13000',1.0 ,1.7 ,"3,197 ",340 
,,13000-14000',0.6 ,0.6 ,48 ,48 
,San Luis,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,15 ,15 
,,9000-10000',0.0 ,0.2 ,"1,200 ",986 
,,10000-11000',0.4 ,1.1 ,"6,391 ",94 
,,11000-12000',1.9 ,2.9 ,"13,506 ",817 
,,12000-13000',2.8 ,3.8 ,"9,750 ","1,852 "
,,13000-14000',0.7 ,1.4 ,87 ,50 
,Saguache,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,5 ,5 
,,9000-10000',0.0 ,0.2 ,"3,026 ","2,114 "
,,10000-11000',0.4 ,0.9 ,"11,569 ","-1,608 "
,,11000-12000',4.0 ,3.9 ,"17,994 ","-3,207 "
,,12000-13000',4.4 ,4.4 ,"4,121 ",-422 
,,13000-14000',0.6 ,0.6 ,13 ,11 
,Conejos,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,6 ,-29 
,,9000-10000',0.0 ,0.6 ,"6,617 ","-1,535 "
,,10000-11000',5.4 ,5.5 ,"51,864 ","-7,006 "
,,11000-12000',7.6 ,7.3 ,"35,964 ","-1,812 "
,,12000-13000',5.4 ,5.5 ,"2,147 ",-149 
Upper Rio Grande,Upper Rio Grande,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,66 ,66 
,,9000-10000',0.0 ,0.1 ,"1,544 ",548 
,,10000-11000',0.0 ,0.7 ,"12,502 ","-4,750 "
,,11000-12000',2.2 ,3.7 ,"28,997 ","1,957 "
,,12000-13000',1.9 ,3.1 ,"3,658 ",889 
,Rio Chama,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,614 ,502 
,,9000-10000',0.0 ,0.5 ,"10,596 ","-2,745 "
,,10000-11000',4.6 ,4.9 ,"54,829 ","-9,467 "
,,11000-12000',9.5 ,9.1 ,"7,313 ",24 
,,12000-13000',8.9 ,8.9 ,366 ,9 
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,62 ,62 
,,8000-9000',0.1 ,0.2 ,"1,076 ","1,076 "
,,9000-10000',0.3 ,0.3 ,341 ,341 
,,10000-11000',0.0 ,0.1 ,24 ,-1 
,,11000-12000',0.0 ,0.0 ,0 ,0 
,Jemez,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,298 ,298 
,,8000-9000',0.0 ,0.1 ,"1,527 ","1,527 "
,,9000-10000',0.0 ,0.1 ,759 ,722 
,,10000-11000',0.4 ,0.3 ,295 ,228 
,Rio Grande-Albuquerque,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,80 ,80 
,,9000-10000',0.0 ,0.1 ,73 ,73 
,,10000-11000',0.2 ,0.2 ,20 ,20 
,Arroyo Chico,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,18 ,18 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,North Plains,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,Rio San Jose,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,Plains of San Agustin,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,Rio Salado,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,Jornada Del Muerto,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,Rio Puerco,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,213 ,213 
,,9000-10000',0.2 ,0.2 ,224 ,224 
,,10000-11000',0.4 ,0.4 ,208 ,207 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
