Subbasin Grouping,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 1, 2025 (af) "
,,,,,
,,,,,
Upper Rio Grande,Rio Grande Headwaters,6.4,6.3,"460,261","54,706"
,Saguache,0,1.4,"100,714","20,221"
,Conejos,0.5,3.9,"161,191","19,900"
,Total,0.8,3.9,"720,339","94,384"
Sangre de Cristo,San Luis,0,0.6,"53,339","10,890"
,Alamosa-Trinchera,0,0.7,"96,407","27,491"
,Upper Rio Grande,0,0.6,"95,903","20,696"
,Total,0,0.6,"244,575","59,104"
Rio Chama,,0,1,"165,743","15,838"
Jemez,,0,0.3,"14,337","12,736"
