HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 8, 2025 (af)  "
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-441 
,,9000-10000',0.0 ,0.2 ,"3,064 ","-12,285 "
,,10000-11000',2.7 ,3.6 ,"79,142 ","-65,283 "
,,11000-12000',8.5 ,8.1 ,"177,488 ","-51,661 "
,,12000-13000',9.7 ,9.0 ,"54,155 ","-15,720 "
,,13000-14000',8.3 ,6.0 ,736 ,-285 
,Alamosa-Trinchera,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-537 
,,9000-10000',0.0 ,0.0 ,627 ,"-10,172 "
,,10000-11000',0.0 ,1.0 ,"12,455 ","-25,723 "
,,11000-12000',2.2 ,2.8 ,"23,832 ","-17,249 "
,,12000-13000',0.3 ,1.5 ,"2,857 ","-2,859 "
,,13000-14000',0.0 ,0.0 ,0 ,-97 
,San Luis,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-16 
,,9000-10000',0.0 ,0.0 ,214 ,"-2,325 "
,,10000-11000',0.0 ,1.0 ,"6,297 ","-10,894 "
,,11000-12000',1.9 ,2.7 ,"12,689 ","-9,328 "
,,12000-13000',1.8 ,3.0 ,"7,897 ","-3,600 "
,,13000-14000',0.0 ,0.6 ,36 ,-42 
,Saguache,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-41 
,,9000-10000',0.0 ,0.1 ,912 ,"-12,013 "
,,10000-11000',0.0 ,1.1 ,"13,177 ","-34,607 "
,,11000-12000',4.7 ,4.6 ,"21,201 ","-12,171 "
,,12000-13000',4.8 ,4.9 ,"4,542 ","-2,004 "
,,13000-14000',0.1 ,0.1 ,2 ,-42 
,Conejos,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,36 ,-204 
,,9000-10000',0.0 ,0.8 ,"8,152 ","-19,070 "
,,10000-11000',6.6 ,6.2 ,"58,870 ","-28,030 "
,,11000-12000',8.3 ,7.7 ,"37,776 ","-6,320 "
,,12000-13000',6.0 ,5.9 ,"2,296 ",-437 
Upper Rio Grande,Upper Rio Grande,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-477 
,,9000-10000',0.0 ,0.0 ,996 ,"-12,915 "
,,10000-11000',0.0 ,1.0 ,"17,252 ","-28,108 "
,,11000-12000',3.0 ,3.4 ,"27,040 ","-6,007 "
,,12000-13000',1.7 ,2.4 ,"2,769 ",-340 
,Rio Chama,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,-231 
,,8000-9000',0.0 ,0.0 ,112 ,"-3,516 "
,,9000-10000',0.0 ,0.6 ,"13,341 ","-40,508 "
,,10000-11000',5.8 ,5.7 ,"64,295 ","-33,897 "
,,11000-12000',9.2 ,9.1 ,"7,288 ","-1,055 "
,,12000-13000',8.7 ,8.7 ,357 ,-23 
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,-9 
,,7000-8000',0.0 ,0.0 ,0 ,"-1,132 "
,,8000-9000',0.0 ,0.0 ,0 ,"-2,035 "
,,9000-10000',0.0 ,0.0 ,0 ,-511 
,,10000-11000',0.0 ,0.1 ,25 ,-349 
,,11000-12000',0.0 ,0.0 ,0 ,-62 
,Jemez,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,-1 
,,7000-8000',0.0 ,0.0 ,0 ,"-1,116 "
,,8000-9000',0.0 ,0.0 ,0 ,"-6,831 "
,,9000-10000',0.0 ,0.0 ,37 ,"-4,526 "
,,10000-11000',0.0 ,0.1 ,67 ,"-1,504 "
,Rio Grande-Albuquerque,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,-251 
,,7000-8000',0.0 ,0.0 ,0 ,"-4,141 "
,,8000-9000',0.0 ,0.0 ,0 ,"-2,057 "
,,9000-10000',0.0 ,0.0 ,0 ,-676 
,,10000-11000',0.0 ,0.0 ,0 ,-62 
,Arroyo Chico,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,-487 
,,8000-9000',0.0 ,0.0 ,0 ,"-1,465 "
,,9000-10000',0.0 ,0.0 ,0 ,-184 
,,10000-11000',0.0 ,0.0 ,0 ,-16 
,North Plains,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,-95 
,,8000-9000',0.0 ,0.0 ,0 ,-47 
,Rio San Jose,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,-1 
,,7000-8000',0.0 ,0.0 ,0 ,"-1,108 "
,,8000-9000',0.0 ,0.0 ,0 ,"-3,107 "
,,9000-10000',0.0 ,0.0 ,0 ,-998 
,,10000-11000',0.0 ,0.0 ,0 ,-285 
,Plains of San Agustin,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-24 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,Rio Salado,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,-32 
