HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 8, 2025 (af)  "
,,8000-9000',0.0 ,0.0 ,0 ,-137 
,,9000-10000',0.0 ,0.0 ,0 ,-49 
,Jornada Del Muerto,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-433 
,,9000-10000',0.0 ,0.0 ,0 ,-486 
,,10000-11000',0.0 ,0.0 ,0 ,-13 
,Rio Puerco,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,-3 
,,7000-8000',0.0 ,0.0 ,0 ,"-1,097 "
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
